Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","5303","Southern Asia","5111","Stocks","976","Sheep","2014","2014","Head","153316034","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5111","Stocks","1107","Asses","2014","2014","Head","103491","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5111","Stocks","946","Buffaloes","2014","2014","Head","16608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5111","Stocks","1126","Camels","2014","2014","Head","7425","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5111","Stocks","866","Cattle","2014","2014","Head","39614609","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5111","Stocks","1016","Goats","2014","2014","Head","4593553","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5111","Stocks","1096","Horses","2014","2014","Head","2759863","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5111","Stocks","1110","Mules","2014","2014","Head","3508","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5111","Stocks","1034","Pigs","2014","2014","Head","52939645","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5111","Stocks","976","Sheep","2014","2014","Head","36459697","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5111","Stocks","1107","Asses","2014","2014","Head","34083","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5111","Stocks","946","Buffaloes","2014","2014","Head","6507","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5111","Stocks","866","Cattle","2014","2014","Head","42210298","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5111","Stocks","1016","Goats","2014","2014","Head","2051113","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5111","Stocks","1096","Horses","2014","2014","Head","1099252","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5111","Stocks","1110","Mules","2014","2014","Head","31445","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5111","Stocks","1034","Pigs","2014","2014","Head","64895542","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5111","Stocks","976","Sheep","2014","2014","Head","10800347","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5111","Stocks","1107","Asses","2014","2014","Head","9000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5111","Stocks","946","Buffaloes","2014","2014","Head","245","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5111","Stocks","866","Cattle","2014","2014","Head","40226178","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5111","Stocks","1016","Goats","2014","2014","Head","3992930","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5111","Stocks","1096","Horses","2014","2014","Head","404766","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5111","Stocks","1034","Pigs","2014","2014","Head","5345671","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5111","Stocks","976","Sheep","2014","2014","Head","102431992","A","Aggregate, may include official, semi-official, estimated or calculated data"
