Remarks,taken from figure 1c from Gleeson et al.
fraction,depth [m]
0.065726165,1198.7549017612
0.0743414165,1033.7148278521
0.0870365177,784.3114605029
0.0810309904,937.4777796522
0.101950198,615.0822506528
0.1135889803,476.6884010507
0.1256700645,363.6944923588
0.1466692909,229.181500491
0.1700576508,103.1632192168
0.194200474,8.3174695132
0.0614805521,1400.3011292346
0.0526976161,1645.2572145546
0.0476787955,1800.2321204517
0.0451693852,1962.7195734003
