Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","5100","Africa","5313","Laying","1062","Eggs, hen, in shell","2014","2014","1000 Head","505203","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5200","Americas","5313","Laying","1062","Eggs, hen, in shell","2014","2014","1000 Head","1149300","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5203","Northern America","5313","Laying","1062","Eggs, hen, in shell","2014","2014","1000 Head","398025","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5300","Asia","5313","Laying","1062","Eggs, hen, in shell","2014","2014","1000 Head","4535174","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5303","Southern Asia","5313","Laying","1062","Eggs, hen, in shell","2014","2014","1000 Head","660117","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5401","Eastern Europe","5313","Laying","1062","Eggs, hen, in shell","2014","2014","1000 Head","424370","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5404","Western Europe","5313","Laying","1062","Eggs, hen, in shell","2014","2014","1000 Head","168359","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5500","Oceania","5313","Laying","1062","Eggs, hen, in shell","2014","2014","1000 Head","22334","A","Aggregate, may include official, semi-official, estimated or calculated data"
